impact,status,family,tokens,slug,sample_url
5,NEAR,A_geo_cat_intent,nagoya twerk studios,nagoya-twerk-studios,/nagoya-twerk-studios.html
5,NEAR,A_geo_cat_intent,nagoya twerk tutorial,nagoya-twerk-tutorial,/nagoya-twerk-tutorial.html
5,GAP,A_geo_cat_intent,new-york choreography near-me,new-york-choreography-near-me,/new-york-choreography-near-me.html
5,GAP,A_geo_cat_intent,new-york cosplay-fancam near-me,new-york-cosplay-fancam-near-me,/new-york-cosplay-fancam-near-me.html
5,GAP,A_geo_cat_intent,new-york dance-battle near-me,new-york-dance-battle-near-me,/new-york-dance-battle-near-me.html
5,GAP,A_geo_cat_intent,new-york dance-tutorial near-me,new-york-dance-tutorial-near-me,/new-york-dance-tutorial-near-me.html
5,GAP,A_geo_cat_intent,new-york dembow near-me,new-york-dembow-near-me,/new-york-dembow-near-me.html
5,GAP,A_geo_cat_intent,new-york fancam-4k near-me,new-york-fancam-4k-near-me,/new-york-fancam-4k-near-me.html
5,GAP,A_geo_cat_intent,new-york heels-choreo near-me,new-york-heels-choreo-near-me,/new-york-heels-choreo-near-me.html
5,GAP,A_geo_cat_intent,new-york k-pop-twerk near-me,new-york-k-pop-twerk-near-me,/new-york-k-pop-twerk-near-me.html
5,GAP,A_geo_cat_intent,new-york perreo near-me,new-york-perreo-near-me,/new-york-perreo-near-me.html
5,GAP,A_geo_cat_intent,new-york reggaeton near-me,new-york-reggaeton-near-me,/new-york-reggaeton-near-me.html
5,GAP,A_geo_cat_intent,new-york try-on-haul near-me,new-york-try-on-haul-near-me,/new-york-try-on-haul-near-me.html
5,NEAR,A_geo_cat_intent,new-york twerk 2026,new-york-twerk-2026,/new-york-twerk-2026.html
5,GAP,A_geo_cat_intent,new-york twerk community,new-york-twerk-community,/new-york-twerk-community.html
5,NEAR,A_geo_cat_intent,new-york twerk compilation,new-york-twerk-compilation,/new-york-twerk-compilation.html
5,NEAR,A_geo_cat_intent,new-york twerk creators,new-york-twerk-creators,/new-york-twerk-creators.html
5,GAP,A_geo_cat_intent,new-york twerk full-video,new-york-twerk-full-video,/new-york-twerk-full-video.html
5,NEAR,A_geo_cat_intent,new-york twerk playlist,new-york-twerk-playlist,/new-york-twerk-playlist.html
5,GAP,A_geo_cat_intent,new-york workout near-me,new-york-workout-near-me,/new-york-workout-near-me.html
5,GAP,A_geo_cat_intent,nyc twerk classes,nyc-twerk-classes,/nyc-twerk-classes.html
5,NEAR,A_geo_cat_intent,nyc twerk dancers,nyc-twerk-dancers,/nyc-twerk-dancers.html
5,NEAR,A_geo_cat_intent,nyc twerk studios,nyc-twerk-studios,/nyc-twerk-studios.html
5,NEAR,A_geo_cat_intent,nyc twerk tutorial,nyc-twerk-tutorial,/nyc-twerk-tutorial.html
5,GAP,A_geo_cat_intent,osaka twerk classes,osaka-twerk-classes,/osaka-twerk-classes.html
5,NEAR,A_geo_cat_intent,osaka twerk dancers,osaka-twerk-dancers,/osaka-twerk-dancers.html
5,NEAR,A_geo_cat_intent,osaka twerk studios,osaka-twerk-studios,/osaka-twerk-studios.html
5,NEAR,A_geo_cat_intent,osaka twerk tutorial,osaka-twerk-tutorial,/osaka-twerk-tutorial.html
